Episode,Snake Size,Epsilon,Total Reward
1,1,1.0,-0.16
2,1,1.0,-0.67
3,1,1.0,-0.78
4,2,1.0,9.87
5,3,1.0,19.89
6,1,1.0,-0.84
7,1,0.99,-0.56
8,1,0.99,-0.4
9,1,0.99,-0.13
10,1,0.99,-0.66
11,1,0.99,-0.28
12,1,0.99,-0.15
13,1,0.99,-0.23
14,1,0.99,-0.34
15,1,0.99,-0.68
16,3,0.99,18.56
17,1,0.98,-0.36
18,2,0.98,9.74
19,1,0.98,-0.2
20,1,0.98,-0.28
21,1,0.98,-0.39
22,1,0.98,-0.36
23,1,0.98,-0.16
24,1,0.98,-0.24
25,1,0.98,-0.33
26,1,0.98,-0.4
27,1,0.97,-0.27
28,1,0.97,-0.22
29,1,0.97,-0.58
30,1,0.97,-0.22
31,1,0.97,-0.37
32,1,0.97,-0.48
33,1,0.97,-0.08
34,1,0.97,-0.25
35,1,0.97,-0.44
36,1,0.97,-0.65
37,1,0.96,-0.18
38,1,0.96,-0.49
39,1,0.96,-0.33
40,1,0.96,-0.47
41,1,0.96,-0.36
42,3,0.96,19.29
43,1,0.96,-0.27
44,1,0.96,-0.41
45,1,0.96,-0.31
46,1,0.96,-0.21
47,2,0.96,9.66
48,3,0.95,19.82
49,1,0.95,-0.32
50,1,0.95,-0.2
51,1,0.95,-0.33
52,1,0.95,-0.29
53,1,0.95,-0.64
54,1,0.95,-0.5
55,1,0.95,-0.15
56,1,0.95,-0.21
57,1,0.95,-0.15
58,1,0.94,-0.23
59,1,0.94,-0.8
60,1,0.94,-0.4
61,2,0.94,9.46
62,1,0.94,-0.24
63,2,0.94,9.35
64,1,0.94,-0.25
65,2,0.94,9.7
66,1,0.94,-0.11
67,1,0.94,-0.21
68,1,0.94,-0.79
69,1,0.93,-0.3
70,1,0.93,-0.16
71,2,0.93,9.81
72,2,0.93,9.66
73,1,0.93,-0.12
74,1,0.93,-0.86
75,1,0.93,-0.12
76,1,0.93,-0.13
77,2,0.93,9.68
78,1,0.93,-0.29
79,2,0.92,9.88
80,2,0.92,9.42
81,1,0.92,-0.19
82,2,0.92,9.73
83,2,0.92,9.52
84,1,0.92,-0.33
85,1,0.92,-0.96
86,1,0.92,-0.28
87,1,0.92,-0.18
88,1,0.92,-0.33
89,1,0.92,-0.16
90,1,0.91,-0.08
91,1,0.91,-0.15
92,1,0.91,-0.74
93,1,0.91,-0.21
94,1,0.91,-0.41
95,1,0.91,-0.58
96,1,0.91,-0.37
97,1,0.91,-0.31
98,1,0.91,-0.67
99,1,0.91,-0.21
100,1,0.91,-0.36
101,1,0.9,-0.15
102,1,0.9,-0.5
103,2,0.9,9.36
104,1,0.9,-0.46
105,1,0.9,-0.35
106,1,0.9,-0.97
107,1,0.9,-0.18
108,1,0.9,-0.2
109,1,0.9,-0.31
110,1,0.9,-0.26
111,1,0.9,-0.8
112,1,0.89,-0.17
113,1,0.89,-0.21
114,1,0.89,-0.2
115,1,0.89,-0.27
116,1,0.89,-0.18
117,1,0.89,-0.38
118,2,0.89,9.66
119,1,0.89,-0.38
120,2,0.89,9.5
121,2,0.89,9.68
122,1,0.89,-0.08
123,2,0.89,9.87
124,1,0.88,-0.22
125,2,0.88,9.55
126,1,0.88,-0.43
127,2,0.88,9.74
128,1,0.88,-0.78
129,1,0.88,-0.14
130,1,0.88,-0.17
131,1,0.88,-0.34
132,1,0.88,-0.3
133,1,0.88,-0.22
